№,Наличие согласия,Согласие в МГУ,Сумма баллов,Математика (ДВИ),Математика (ЕГЭ),Физика,Русский язык,Индивидуальные достижения - аттестат,Индивидуальные достижения - сочинение,Индивидуальные достижения - ГТО,Преимущественное право зачисления,Право на общежитие,Статус
84,Нет,Да,388,95,100,95,96,0,2,0,Нет,Нет,В конкурсе
85,Нет,Да,388,90,94,100,96,6,2,0,Нет,Да,В конкурсе
86,Нет,Да,387,100,100,89,94,0,2,2,Нет,Да,В конкурсе
87,Да,Да,387,100,96,100,87,0,2,2,Нет,Да,В конкурсе
88,Нет,Да,387,100,96,97,92,0,2,0,Нет,Нет,В конкурсе
89,Нет,Да,387,100,96,87,96,6,2,0,Нет,Нет,В конкурсе
90,Нет,Нет,387,100,92,89,98,6,2,0,Нет,Да,В конкурсе
91,Нет,Нет,387,85,100,100,94,6,2,0,Нет,Да,В конкурсе
92,Нет,Да,386,100,99,97,88,0,2,0,Нет,Нет,В конкурсе
93,Нет,Да,386,100,99,95,90,0,2,0,Нет,Нет,В конкурсе
94,Нет,Нет,386,100,98,100,80,6,2,0,Нет,Да,В конкурсе
95,Нет,Нет,386,100,90,100,94,0,2,0,Нет,Нет,В конкурсе
96,Нет,Да,386,90,99,99,96,0,2,0,Нет,Нет,В конкурсе
97,Нет,Да,386,90,99,97,98,0,2,0,Нет,Нет,В конкурсе
98,Нет,Нет,386,90,94,100,100,0,2,0,Нет,Да,В конкурсе
99,Нет,Да,385,100,100,83,100,0,2,0,Нет,Нет,В конкурсе
100,Нет,Да,385,100,92,95,96,0,2,0,Нет,Да,В конкурсе
101,Нет,Да,385,100,88,89,100,6,2,0,Нет,Да,В конкурсе
102,Нет,Нет,385,90,98,95,94,6,2,0,Нет,Да,В конкурсе
103,Нет,Да,385,90,92,97,96,6,2,2,Нет,Да,В конкурсе
104,Нет,Нет,385,90,90,97,100,6,2,0,Нет,Да,В конкурсе
105,Нет,Нет,384,100,100,100,82,0,2,0,Нет,Нет,В конкурсе
106,Нет,Да,384,100,99,95,88,0,2,0,Нет,Нет,В конкурсе
107,Нет,Да,384,100,99,83,94,6,2,0,Нет,Да,В конкурсе
108,Да,Да,384,100,92,100,90,0,2,0,Нет,Да,В конкурсе
109,Нет,Да,384,100,90,100,86,6,2,0,Нет,Да,В конкурсе
110,Нет,Нет,384,100,86,100,96,0,2,0,Нет,Нет,В конкурсе
111,Нет,Да,384,90,94,96,96,6,2,0,Нет,Да,В конкурсе
112,Нет,Нет,384,80,94,100,100,6,2,2,Нет,Нет,В конкурсе
113,Нет,Да,383,100,100,99,82,0,2,0,Нет,Нет,В конкурсе
114,Нет,Нет,383,100,98,93,88,0,2,2,Нет,Да,В конкурсе
115,Нет,Нет,383,100,96,95,84,6,2,0,Нет,Да,В конкурсе
116,Нет,Нет,383,100,96,93,86,6,2,0,Нет,Да,В конкурсе
117,Нет,Да,383,100,92,97,92,0,2,0,Нет,Нет,В конкурсе
118,Нет,Да,383,100,88,89,98,6,2,0,Нет,Нет,В конкурсе
119,Нет,Да,383,95,96,100,90,0,2,0,Нет,Да,В конкурсе
120,Нет,Нет,383,90,92,97,96,6,2,0,Нет,Да,В конкурсе
121,Нет,Да,383,90,92,97,96,6,2,0,Нет,Да,В конкурсе
122,Нет,Да,382,100,92,100,88,0,2,0,Нет,Да,В конкурсе
123,Нет,Нет,382,100,86,100,94,0,2,0,Нет,Нет,В конкурсе
124,Нет,Нет,382,100,84,100,96,0,2,0,Нет,Нет,В конкурсе
125,Нет,Да,382,95,98,89,98,0,2,0,Нет,Нет,В конкурсе
126,Нет,Да,382,90,100,100,90,0,2,0,Нет,Да,В конкурсе
127,Нет,Нет,381,100,100,87,92,0,2,0,Нет,Нет,В конкурсе
128,Нет,Нет,381,100,99,100,80,0,2,0,Нет,Нет,В конкурсе
129,Нет,Да,381,100,98,89,86,6,2,0,Нет,Нет,В конкурсе
130,Нет,Нет,381,100,88,93,98,0,2,0,Нет,Нет,В конкурсе
131,Да,Да,381,100,86,95,92,6,2,0,Нет,Да,В конкурсе
132,Нет,Нет,381,90,100,91,98,0,2,0,Нет,Нет,В конкурсе
133,Нет,Нет,381,90,94,95,94,6,2,0,Нет,Нет,В конкурсе
134,Нет,Да,381,90,92,95,96,6,2,0,Нет,Да,В конкурсе
135,Нет,Нет,381,85,100,100,94,0,2,0,Нет,Нет,В конкурсе
136,Нет,Нет,381,85,96,100,92,6,2,0,Нет,Да,В конкурсе
137,Нет,Нет,381,80,100,99,100,0,2,0,Нет,Нет,В конкурсе
138,Нет,Нет,380,100,92,100,86,0,2,0,Нет,Нет,В конкурсе
139,Нет,Да,380,95,92,87,98,6,2,0,Нет,Нет,В конкурсе
140,Нет,Да,380,90,100,100,88,0,2,0,Нет,Нет,В конкурсе
141,Нет,Да,380,90,90,100,92,6,2,0,Нет,Да,В конкурсе
142,Нет,Да,380,85,100,95,90,6,2,2,Нет,Да,В конкурсе
143,Нет,Да,380,85,92,97,98,6,2,0,Нет,Нет,В конкурсе
144,Нет,Да,379,100,98,87,92,0,2,0,Нет,Да,В конкурсе
145,Нет,Да,379,100,98,85,94,0,2,0,Нет,Нет,В конкурсе
146,Нет,Да,379,100,96,97,84,0,2,0,Нет,Да,В конкурсе
147,Нет,Да,379,100,96,96,85,0,2,0,Нет,Нет,В конкурсе
148,Нет,Да,379,95,99,93,90,0,2,0,Нет,Да,В конкурсе
149,Нет,Да,379,90,100,87,94,6,2,0,Нет,Нет,В конкурсе
150,Нет,Да,379,90,94,95,92,6,2,0,Нет,Нет,В конкурсе
151,Нет,Нет,379,90,94,95,90,6,2,2,Нет,Да,В конкурсе
152,Да,Да,379,90,92,97,92,6,2,0,Нет,Нет,В конкурсе
153,Нет,Да,379,90,88,97,94,6,2,2,Нет,Да,В конкурсе
154,Да,Да,379,85,99,91,96,6,2,0,Нет,Нет,В конкурсе
155,Нет,Да,378,100,94,93,89,0,2,0,Нет,Да,В конкурсе
156,Нет,Нет,378,100,90,100,86,0,2,0,Нет,Нет,В конкурсе
157,Нет,Нет,378,100,88,97,91,0,2,0,Нет,Нет,В конкурсе
158,Нет,Да,378,90,99,96,91,0,2,0,Нет,Нет,В конкурсе
159,Нет,Да,378,90,99,93,88,6,2,0,Нет,Да,В конкурсе
160,Нет,Да,378,90,94,100,86,6,2,0,Нет,Нет,В конкурсе
161,Нет,Нет,378,85,99,100,86,6,2,0,Нет,Да,В конкурсе
162,Нет,Да,378,85,98,99,94,0,2,0,Нет,Да,В конкурсе
163,Нет,Да,378,85,98,93,94,6,2,0,Нет,Нет,В конкурсе
164,Нет,Да,378,85,92,93,98,6,2,2,Нет,Нет,В конкурсе
165,Нет,Нет,378,80,96,100,100,0,2,0,Нет,Нет,В конкурсе
166,Нет,Нет,377,100,98,93,84,0,2,0,Нет,Нет,В конкурсе
167,Нет,Да,377,100,96,93,78,6,2,2,Нет,Да,В конкурсе
168,Нет,Да,377,100,90,93,92,0,2,0,Нет,Нет,В конкурсе
169,Нет,Нет,377,100,88,95,86,6,2,0,Нет,Нет,В конкурсе
170,Нет,Нет,377,100,82,99,94,0,2,0,Нет,Да,В конкурсе
171,Нет,Да,377,90,98,93,92,0,2,2,Нет,Нет,В конкурсе
172,Нет,Да,377,90,90,95,94,6,2,0,Нет,Да,В конкурсе
173,Нет,Нет,377,80,100,97,98,0,2,0,Нет,Нет,В конкурсе
174,Нет,Да,377,80,94,99,96,6,2,0,Нет,Да,В конкурсе
175,Нет,Да,376,100,99,89,84,0,2,2,Нет,Нет,В конкурсе
176,Нет,Да,376,95,86,93,94,6,2,0,Нет,Нет,В конкурсе
177,Нет,Да,376,80,94,100,94,6,2,0,Нет,Нет,В конкурсе
178,Нет,Да,375,100,98,91,84,0,2,0,Нет,Да,В конкурсе
179,Нет,Нет,375,100,96,95,82,0,2,0,Нет,Да,В конкурсе
180,Нет,Да,375,100,96,87,90,0,2,0,Нет,Нет,В конкурсе
181,Нет,Нет,375,100,94,99,80,0,2,0,Нет,Да,В конкурсе
182,Нет,Нет,375,100,90,87,90,6,2,0,Нет,Да,В конкурсе
183,Нет,Нет,375,100,88,96,89,0,2,0,Нет,Да,В конкурсе
184,Нет,Нет,375,100,76,97,98,0,2,2,Нет,Нет,В конкурсе
185,Нет,Да,375,90,98,89,96,0,2,0,Нет,Да,В конкурсе
186,Нет,Да,375,90,96,93,94,0,2,0,Нет,Нет,В конкурсе
187,Нет,Да,375,90,86,95,94,6,2,2,Нет,Да,В конкурсе
188,Нет,Да,375,80,92,99,96,6,2,0,Нет,Да,В конкурсе
189,Нет,Да,375,75,99,97,94,6,2,2,Нет,Нет,В конкурсе
190,Нет,Да,374,85,100,87,94,6,2,0,Нет,Да,В конкурсе
191,Нет,Да,374,85,88,97,94,6,2,2,Нет,Нет,В конкурсе
192,Нет,Да,374,80,99,99,94,0,2,0,Нет,Нет,В конкурсе
193,Нет,Нет,374,80,90,100,100,0,2,2,Нет,Нет,В конкурсе
194,Нет,Да,374,75,98,97,96,6,2,0,Нет,Да,В конкурсе
195,Нет,Да,373,100,99,78,94,0,2,0,Нет,Да,В конкурсе
196,Нет,Нет,373,100,94,93,84,0,2,0,Нет,Да,В конкурсе
197,Нет,Да,373,100,90,85,96,0,2,0,Нет,Да,В конкурсе
198,Нет,Да,373,100,88,87,90,6,2,0,Нет,Нет,В конкурсе
199,Нет,Да,373,100,86,91,94,0,2,0,Нет,Нет,В конкурсе
200,Нет,Нет,373,100,84,93,94,0,2,0,Нет,Да,В конкурсе
201,Нет,Да,373,100,84,83,96,6,2,2,Нет,Да,В конкурсе
202,Нет,Нет,373,90,96,85,92,6,2,2,Нет,Да,В конкурсе
203,Нет,Да,373,90,94,93,94,0,2,0,Нет,Да,В конкурсе
204,Нет,Да,373,90,94,91,94,0,2,2,Нет,Нет,В конкурсе
205,Нет,Нет,373,90,92,89,98,0,2,2,Нет,Да,В конкурсе
206,Нет,Да,373,85,94,100,86,6,2,0,Нет,Да,В конкурсе
207,Нет,Да,373,80,100,93,92,6,2,0,Нет,Нет,В конкурсе
208,Нет,Нет,373,80,98,95,98,0,2,0,Нет,Да,В конкурсе
209,Нет,Да,373,80,98,91,96,6,2,0,Нет,Да,В конкурсе
210,Нет,Да,373,80,96,95,94,6,2,0,Нет,Нет,В конкурсе
211,Нет,Нет,373,70,99,100,96,6,2,0,Нет,Нет,В конкурсе
212,Нет,Да,372,100,94,86,84,6,2,0,Нет,Нет,В конкурсе
213,Нет,Да,372,95,100,93,82,0,2,0,Нет,Да,В конкурсе
214,Нет,Да,372,90,99,89,92,0,2,0,Нет,Нет,В конкурсе
215,Нет,Да,372,85,94,97,88,6,2,0,Нет,Нет,В конкурсе
216,Нет,Да,372,85,94,89,96,6,2,0,Нет,Да,В конкурсе
217,Нет,Нет,372,85,86,99,94,6,2,0,Нет,Да,В конкурсе
218,Нет,Да,372,80,99,99,92,0,2,0,Нет,Да,В конкурсе
219,Нет,Да,372,80,99,89,96,6,2,0,Нет,Да,В конкурсе
220,Нет,Нет,372,75,100,95,94,6,2,0,Нет,Да,В конкурсе
221,Нет,Нет,372,70,98,100,94,6,2,2,Нет,Да,В конкурсе
222,Нет,Нет,371,100,86,99,78,6,2,0,Нет,Да,В конкурсе
223,Нет,Да,371,90,96,89,96,0,0,0,Нет,Да,В конкурсе
224,Нет,Да,371,90,92,85,96,6,2,0,Нет,Да,В конкурсе
